Notes,ManualCheck,MergeInto,RenameEntitySet,KeyParamGroup,EntitySet,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,EntitySetCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,1388,128,128,70,0.082,0.000267,90,TRUE,1388,dwi,70,35.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTNoFmap__1,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTNoFmap,1,25,128,128,70,0.082,0.000267,90,FALSE,25,dwi,70,35.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTRepetitionTime__1,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTRepetitionTime,1,6,128,128,70,0.082,0.000267,90,TRUE,9,dwi,70,35.0,FALSE,3.0,0.75,j-,9.0,0.034,FALSE,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTRepetitionTime__2,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTRepetitionTime,2,3,128,128,70,0.082,0.000267,90,TRUE,9,dwi,70,35.0,FALSE,3.0,0.75,j-,9.8,0.034,FALSE,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTDim3SizeVoxelSizeDim3__1,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTDim3SizeVoxelSizeDim3,1,2,128,128,46,0.082,0.000267,90,TRUE,2,dwi,46,35.0,FALSE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,3.0
,,,,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTime__1,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTEchoTimeEffectiveEchoSpacingRepetitionTimeTotalReadoutTime,1,1,128,128,70,0.102,0.0008,90,TRUE,1,dwi,70,35.0,FALSE,3.0,0.75,j-,12.3,0.102,FALSE,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTObliquity__1,datatype-dwi_run-1_suffix-dwi_acquisition-VARIANTObliquity,1,1,128,128,70,0.082,0.000267,90,TRUE,1,dwi,70,35.0,TRUE,3.0,0.75,j-,8.1,0.034,FALSE,1.875,1.875,2.0
